"","...1","...2","Province","Date","GID_1","Species","Slaughter","...8","totalRainfall","averageRainfall","stddevRainfall","wetDays","SDII","rollsum","rollsumPred","CowPop","Dep","dist2Cities","NDP_.livelihood","rollsumSTD","rollsumPredSTD","DepSTD","NDPSTD","DcitSTD","Month"
"52",52,52,"Eastern Cape","Jul 2022","ZAF.1_1","Cattle",21359,35,4571.81544607133,0.474648613587139,1.85327526033371,16,285.738465379458,196123.554807165,218606.80418395,3262332,78.1788864135742,120548.765625,0.142,0.932841729198566,1.12678010923121,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
"53",53,53,"Eastern Cape","Jun 2015","ZAF.1_1","Cattle",16574,148,6927.04349367321,0.742368823670904,3.22774052074323,22,314.865613348782,153740.702339171,154416.24289364,3262332,78.1788864135742,120548.765625,0.142,0.45220806238547,0.416098075991046,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"54",54,54,"Eastern Cape","Jun 2016","ZAF.1_1","Cattle",21584,108,4582.82333867811,0.491139571179735,1.4011525580537,17,269.577843451653,156760.463048635,140324.28883264,3262332,78.1788864135742,120548.765625,0.142,0.486453012363385,0.260079833385178,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"55",55,55,"Eastern Cape","Jun 2017","ZAF.1_1","Cattle",19632,92,3380.98963123374,0.36233947392924,1.3766374673939,17,198.881743013749,141526.122540085,177239.881810138,3262332,78.1788864135742,120548.765625,0.142,0.313691234575232,0.668788655183172,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"56",56,56,"Eastern Cape","Jun 2018","ZAF.1_1","Cattle",18076,160,2217.28177470155,0.237625310759999,0.813814485675528,21,105.58484641436,178403.58966667,166376.656837937,3262332,78.1788864135742,120548.765625,0.142,0.731892257293438,0.548517097253134,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"57",57,57,"Eastern Cape","Jun 2019","ZAF.1_1","Cattle",17419,68,3697.57424412616,0.396267735947504,1.23781534578391,21,176.074964006008,164896.364368513,145162.665368909,3262332,78.1788864135742,120548.765625,0.142,0.578716459878048,0.313647635337023,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"58",58,58,"Eastern Cape","Jun 2020","ZAF.1_1","Cattle",19399,52,1698.05323782661,0.181979770424029,0.554268484310625,13,130.619479832816,147162.186375209,141108.779561345,3262332,78.1788864135742,120548.765625,0.142,0.37760581015775,0.268765276461655,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"59",59,59,"Eastern Cape","Jun 2021","ZAF.1_1","Cattle",19959,120,4790.58544830233,0.513405363659021,2.18547572447507,22,217.753884013742,138016.247350869,196123.554807165,3262332,78.1788864135742,120548.765625,0.142,0.273888246243497,0.877858132857226,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"60",60,60,"Eastern Cape","Jun 2022","ZAF.1_1","Cattle",19742,26,5037.85718365961,0.539905388882178,1.5252693423038,17,296.344540215271,195876.283071808,216989.281310878,3262332,78.1788864135742,120548.765625,0.142,0.930037597009643,1.10887179964269,0.521030864986586,1.3585678406264,0.227075071110187,"Jun"
"61",61,61,"Eastern Cape","Mar 2015","ZAF.1_1","Cattle",17773,169,21630.3286445141,2.2456736549537,4.73720193014676,25,865.213145780563,156419.217945372,155519.732470501,3262332,78.1788864135742,120548.765625,0.142,0.482583195309727,0.428315296099094,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"62",62,62,"Eastern Cape","Mar 2016","ZAF.1_1","Cattle",20355,121,20367.3756003007,2.11455311464916,6.69156877857049,25,814.695024012029,156782.685514714,142009.523844175,3262332,78.1788864135742,120548.765625,0.142,0.486705021483471,0.278737813941986,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"63",63,63,"Eastern Cape","Mar 2017","ZAF.1_1","Cattle",20061,65,12444.1586240381,1.29195999003718,4.20614941078155,19,654.955717054637,149932.740820438,174920.679078208,3262332,78.1788864135742,120548.765625,0.142,0.409024689836066,0.643111738205146,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"64",64,64,"Eastern Cape","Mar 2018","ZAF.1_1","Cattle",15823,133,26027.1886843406,2.70215829364001,5.85338218407536,27,963.969951271873,161337.649017906,155756.156774441,3262332,78.1788864135742,120548.765625,0.142,0.538359610149777,0.430932853909059,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"65",65,65,"Eastern Cape","Mar 2019","ZAF.1_1","Cattle",17013,81,24307.1440589726,2.52358223203619,6.11670204528751,25,972.285762358904,157476.201399809,156708.403624949,3262332,78.1788864135742,120548.765625,0.142,0.494569689938669,0.441475599045761,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"66",66,66,"Eastern Cape","Mar 2020","ZAF.1_1","Cattle",18454,25,26449.3334078155,2.74598561127653,5.73233946050743,25,1057.97333631262,154566.214276106,139857.867628762,3262332,78.1788864135742,120548.765625,0.142,0.461569603814204,0.254915878391558,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
"67",67,67,"Eastern Cape","Mar 2021","ZAF.1_1","Cattle",22066,93,14873.7732907459,1.5442040376605,4.15630653327323,29,512.888734163652,151433.427745831,182294.821138918,3262332,78.1788864135742,120548.765625,0.142,0.426042908707361,0.724754119386478,0.521030864986586,1.3585678406264,0.227075071110187,"Mar"
